País,Liga,Temporada,Fecha,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante,Resultado,Goles Medio Tiempo Local,Goles Medio Tiempo Visitante,Resultado Medio Tiempo,Puntos Local,Puntos Visitante
Mexico,Liga MX,2015/2016,2015-09-30,Chiapas,Queretaro,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2015-09-30,Santos Laguna,Dorados de Sinaloa,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2015-09-30,Veracruz,Pachuca,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-01,Monarcas,UNAM Pumas,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-01,Cruz Azul,Atlas,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-01,Tigres UANL,Puebla,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-03,Queretaro,Club Tijuana,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-03,Club America,Chiapas,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-04,Monterrey,Club Leon,4.0,0.0,H,4.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-04,Santos Laguna,Toluca,0.0,0.0,D,0.0,0.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-04,Atlas,Tigres UANL,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-04,UNAM Pumas,Guadalajara Chivas,1.0,0.0,H,1.0,0.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-04,Puebla,Monarcas,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-10,Monterrey,Puebla,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-17,Veracruz,Santos Laguna,0.0,3.0,A,0.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-17,Club Tijuana,Club America,0.0,2.0,A,0.0,2.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-17,Cruz Azul,Dorados de Sinaloa,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-18,Tigres UANL,Pachuca,2.0,1.0,H,2.0,1.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-18,Club Leon,UNAM Pumas,1.0,3.0,A,1.0,3.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-18,Monarcas,Atlas,0.0,1.0,A,0.0,1.0,A,0,3
Mexico,Liga MX,2015/2016,2015-10-18,Chiapas,Monterrey,2.0,2.0,D,2.0,2.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-18,Toluca,Queretaro,4.0,2.0,H,4.0,2.0,H,3,0
Mexico,Liga MX,2015/2016,2015-10-18,Guadalajara Chivas,Puebla,1.0,1.0,D,1.0,1.0,D,1,1
Mexico,Liga MX,2015/2016,2015-10-24,Veracruz,Toluca,3.0,2.0,H,3.0,2.0,H,3,0
